registerno,department,semester,staff,subject,average


922523244015,Computer Science and Business Systems - A,1,Keerthika,Basic Industrial Biotechnology,6.70
922523244015,Computer Science and Business Systems - A,1,Karthikeyan,Basic Electrical Electronics and Instrumentation Engineering Laboratory,7.00
922523244015,Computer Science and Business Systems - A,1,Sumya Fathimya,Basic Electrical and Electronics Engineering,6.70
922523244051,Computer Science and Business Systems - A,1,Keerthika,Basic Industrial Biotechnology,5.00
922523244051,Computer Science and Business Systems - A,1,Karthikeyan,Basic Electrical Electronics and Instrumentation Engineering Laboratory,6.80
922523244051,Computer Science and Business Systems - A,1,Sumya Fathimya,Basic Electrical and Electronics Engineering,7.70
